"","Number","File","Date","Subject","Result","TA_Tally","NIL_Tally"
"224","224","Ireland-seanad-minutes-2013June25-p37.html","2013/6/25","25/Jun/2013 Social Welfare and Pensions (Miscellaneous Provisions) Bill 2013: Committee Stage (Resumed) (Continued)","Question declared carried.","24"," 4"
"225","225","Ireland-seanad-minutes-2013June26-p29.html","2013/6/26","26/Jun/2013 Industry Lobbying: Motion (Continued)","Amendment declared carried.","23","16"
"226","226","Ireland-seanad-minutes-2013June26-p53.html","2013/6/26","26/Jun/2013 Social Welfare and Pensions (Miscellaneous Provisions) Bill 2013: Report and Final Stages (Continued)","Question declared carried.","25","10"
"227","227","Ireland-seanad-minutes-2013June26-p54.html","2013/6/26","26/Jun/2013 Business of Seanad","Question declared carried.","25","10"
"228","228","Ireland-seanad-minutes-2013June26-p8.html","2013/6/26","26/Jun/2013 Order of Business (Resumed) (Continued)","Amendment declared lost.","17","23"
"229","229","Ireland-seanad-minutes-2013June26-p9.html","2013/6/26","26/Jun/2013 Order of Business (Resumed) (Continued)","Question declared carried.","24","15"
"230","230","Ireland-seanad-minutes-2013June27-p13.html","2013/6/27","27/Jun/2013 Health Service Executive (Governance) Bill 2012: [Seanad Bill amended by the DÃ¡il] Report and Final Stages (Continued)","Question declared carried.","26","11"
"231","231","Ireland-seanad-minutes-2013June27-p9.html","2013/6/27","27/Jun/2013 Order of Business (Continued)","Amendment declared lost.","11","34"
"232","232","Ireland-seanad-minutes-2013March06-p23.html","2013/3/ 6","06/Mar/2013 Finance (Local Property Tax) (Amendment) Bill 2013: Second Stage (Continued)","Question declared carried.","29","17"
"233","233","Ireland-seanad-minutes-2013March06-p29.html","2013/3/ 6","06/Mar/2013 Finance (Local Property Tax) (Amendment) Bill 2013: Committee and Remaining Stages (Continued)","Question declared carried.","28","19"
"234","234","Ireland-seanad-minutes-2013March20-p36.html","2013/3/20","20/Mar/2013 Finance Bill 2013 [Certified Money Bill]: Second Stage (Continued)","Question declared carried.","23","13"
"235","235","Ireland-seanad-minutes-2013March21-p11.html","2013/3/21","21/Mar/2013 Finance Bill 2013 [Certified Money Bill]: Committee and Remaining Stages","Recommendation declared lost.","10","27"
"236","236","Ireland-seanad-minutes-2013March21-p23.html","2013/3/21","21/Mar/2013 Finance Bill 2013 [Certified Money Bill]: Committee and Remaining Stages (Continued)","Question declared carried.","27"," 8"
"237","237","Ireland-seanad-minutes-2013March21-p39.html","2013/3/21","21/Mar/2013 Finance Bill 2013 [Certified Money Bill]: Committee and Remaining Stages (Continued)","Question declared carried.","23"," 8"
"238","238","Ireland-seanad-minutes-2013March21-p40.html","2013/3/21","21/Mar/2013 Finance Bill 2013 [Certified Money Bill]: Committee and Remaining Stages (Continued)","Question declared carried.","24"," 8"
"239","239","Ireland-seanad-minutes-2013March26-p19.html","2013/3/26","26/Mar/2013 Order of Business (Continued)","Amendment declared lost.","11","26"
"240","240","Ireland-seanad-minutes-2013March27-p20.html","2013/3/27","27/Mar/2013 Health (Alteration of Criteria for Eligibility) Bill 2013: Second Stage (Continued)","Question declared carried.","26","12"
"241","241","Ireland-seanad-minutes-2013March28-p17.html","2013/3/28","28/Mar/2013 Motor Vehicle (Duties and Licences) Bill 2013: Committee and Remaining Stages (Continued)","Question declared carried.","24"," 9"
"242","242","Ireland-seanad-minutes-2013March28-p24.html","2013/3/28","28/Mar/2013 Health (Alteration of Criteria for Eligibility) Bill 2013: Committee and Remaining Stages (Continued)","Question declared carried.","21"," 7"
"243","243","Ireland-seanad-minutes-2013March28-p25.html","2013/3/28","28/Mar/2013 Health (Alteration of Criteria for Eligibility) Bill 2013: Motion for Earlier Signature","Question declared carried.","22"," 7"
"244","244","Ireland-seanad-minutes-2013May01-p10.html","2013/5/ 1","01/May/2013 Order of Business (Continued)","Question declared carried.","31","13"
