Year,Month,Day,File_Name,Subject,Non-RCV Result
2004,February,18,Ireland-seanad-minutes-2004February18-p6.html,18/Feb/2004 Equality Bill 2004: Committee Stage.,Section 45 agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p6.html,18/Feb/2004 Equality Bill 2004: Committee Stage.,Section 46 agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p6.html,18/Feb/2004 Equality Bill 2004: Committee Stage.,Section 47 agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p6.html,18/Feb/2004 Equality Bill 2004: Committee Stage.,"Sections 48 to 58, inclusive, agreed to."
2004,February,18,Ireland-seanad-minutes-2004February18-p6.html,18/Feb/2004 Equality Bill 2004: Committee Stage.,Title agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p7.html,18/Feb/2004 Civil Registration Bill 2003: Committee Stage.,Question put and agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p7.html,18/Feb/2004 Civil Registration Bill 2003: Committee Stage.,"Sections 2 to 12, inclusive, agreed to."
2004,February,18,Ireland-seanad-minutes-2004February18-p7.html,18/Feb/2004 Civil Registration Bill 2003: Committee Stage.,Section 13 agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p7.html,18/Feb/2004 Civil Registration Bill 2003: Committee Stage.,"Sections 14 to 17, inclusive, agreed to."
2004,February,18,Ireland-seanad-minutes-2004February18-p7.html,18/Feb/2004 Civil Registration Bill 2003: Committee Stage.,Section 18 agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p7.html,18/Feb/2004 Civil Registration Bill 2003: Committee Stage.,Question put and agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p7.html,18/Feb/2004 Civil Registration Bill 2003: Committee Stage.,Section 20 agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p7.html,18/Feb/2004 Civil Registration Bill 2003: Committee Stage.,Section 21 agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p7.html,18/Feb/2004 Civil Registration Bill 2003: Committee Stage.,Section 22 agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p7.html,18/Feb/2004 Civil Registration Bill 2003: Committee Stage.,Section 23 agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p7.html,18/Feb/2004 Civil Registration Bill 2003: Committee Stage.,Section 24 agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p7.html,18/Feb/2004 Civil Registration Bill 2003: Committee Stage.,Section 25 agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p7.html,18/Feb/2004 Civil Registration Bill 2003: Committee Stage.,"Sections 26 to 42, inclusive, agreed to."
2004,February,18,Ireland-seanad-minutes-2004February18-p7.html,18/Feb/2004 Civil Registration Bill 2003: Committee Stage.,Section 43 agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p7.html,18/Feb/2004 Civil Registration Bill 2003: Committee Stage.,Sections 44 and 45 agreed to.
2004,February,18,Ireland-seanad-minutes-2004February18-p7.html,18/Feb/2004 Civil Registration Bill 2003: Committee Stage.,Section 46 agreed to.
