Year,Month,Day,Vote #,Subject,Result,Ta/Nil,Tally,Legislator1,Legislator2,Legislator3,Legislator4,Legislator5,Legislator6,Legislator7,Legislator8,Legislator9,Legislator10,Legislator11,Legislator12,Legislator13,Legislator14,Legislator15,Legislator16,Legislator17,Legislator18,Legislator19,Legislator20,Legislator21,Legislator22,Legislator23,Legislator24,Legislator25,Legislator26,Legislator27,Legislator28,Legislator29,Legislator30,Legislator31,Legislator32,Legislator33,Legislator34,Legislator35,Legislator36,Legislator37,Legislator38,Legislator39,Legislator40,Legislator41,Legislator42,Legislator43,Legislator44,Legislator45,Legislator46,Legislator47,Legislator48,Legislator49,Legislator50,Legislator51,Legislator52,Legislator53,Legislator54
2012,December,19,3,19/Dec/2012 Social Welfare Bill 2012: Committee Stage (Continued),Question declared carried.,TA,31,IvanaBacik,PaulBradford,TerryBrennan,ColmBurke,DeirdreClune,EamonnCoghlan,PaulCoghlan,MichaelComiskey,MartinConway,MauriceCummins,JimDarcy,MichaelWDArcy,JohnGilroy,JimmyHarte,AideenHayden,FidelmaHealyEames,ImeldaHenry,LorraineHiggins,CaitKeane,JohnKelly,DenisLandy,MarieMoloney,MaryMoran,TonyMulcahy,MichaelMullins,CatherineNoone,SusanOKeeffe,PatONeill,FergalQuinn,TomSheahan,JohnWhelan,,,,,,,,,,,,,,,,,,,,,,,
2012,December,19,3,19/Dec/2012 Social Welfare Bill 2012: Committee Stage (Continued),Question declared carried.,NIL,28,SeanDBarrett,ThomasByrne,JohnCrown,DavidCullinane,MarkDaly,JamesHeffernan,TerryLeyden,FiachMacConghail,MarcMacSharry,MartinMcAleese,PaschalMooney,RonanMullen,DavidNorris,DarraghOBrien,MaryAnnOBrien,MarieLouiseODonnell,DennisODonovan,NedOSullivan,TrevorOClochartaigh,BrianODomhnaill,LabhrasOMurchu,AverilPower,KathrynReilly,JillianVanTurnhout,JimWalsh,MaryMWhite,DiarmuidWilson,KatherineZappone,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,December,19,4,19/Dec/2012 Finance (Local Property Tax) Bill 2012: Second Stage (Continued),Question declared carried.,TA,30,IvanaBacik,PaulBradford,TerryBrennan,ColmBurke,DeirdreClune,EamonnCoghlan,PaulCoghlan,MichaelComiskey,MartinConway,MauriceCummins,JimDarcy,MichaelWDArcy,JohnGilroy,JimmyHarte,AideenHayden,FidelmaHealyEames,ImeldaHenry,LorraineHiggins,CaitKeane,JohnKelly,DenisLandy,MarieMoloney,MaryMoran,TonyMulcahy,MichaelMullins,CatherineNoone,SusanOKeeffe,PatONeill,TomSheahan,JohnWhelan,,,,,,,,,,,,,,,,,,,,,,,,
2012,December,19,4,19/Dec/2012 Finance (Local Property Tax) Bill 2012: Second Stage (Continued),Question declared carried.,NIL,17,SeanDBarrett,ThomasByrne,JohnCrown,DavidCullinane,MarkDaly,TerryLeyden,MarcMacSharry,PaschalMooney,TrevorOClochartaigh,BrianODomhnaill,DarraghOBrien,DennisODonovan,NedOSullivan,AverilPower,JimWalsh,MaryMWhite,DiarmuidWilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,December,19,5,19/Dec/2012 Finance (Local Property Tax) Bill 2012: Second Stage (Continued),Question declared carried.,TA,30,IvanaBacik,PaulBradford,TerryBrennan,ColmBurke,DeirdreClune,EamonnCoghlan,PaulCoghlan,MichaelComiskey,MartinConway,MauriceCummins,JimDarcy,MichaelWDArcy,JohnGilroy,JimmyHarte,AideenHayden,FidelmaHealyEames,ImeldaHenry,LorraineHiggins,CaitKeane,JohnKelly,DenisLandy,MarieMoloney,MaryMoran,TonyMulcahy,MichaelMullins,CatherineNoone,SusanOKeeffe,PatONeill,TomSheahan,JohnWhelan,,,,,,,,,,,,,,,,,,,,,,,,
2012,December,19,5,19/Dec/2012 Finance (Local Property Tax) Bill 2012: Second Stage (Continued),Question declared carried.,NIL,17,SeanDBarrett,ThomasByrne,JohnCrown,DavidCullinane,MarkDaly,TerryLeyden,MarcMacSharry,PaschalMooney,DarraghOBrien,DennisODonovan,NedOSullivan,TrevorOClochartaigh,BrianODomhnaill,AverilPower,JimWalsh,MaryMWhite,DiarmuidWilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,December,20,0,20/Dec/2012 Order of Business (Continued),Question declared carried.,TA,32,IvanaBacik,TerryBrennan,ColmBurke,DeirdreClune,EamonnCoghlan,PaulCoghlan,MichaelComiskey,MartinConway,MauriceCummins,JimDarcy,MichaelWDArcy,JohnGilroy,JimmyHarte,AideenHayden,FidelmaHealyEames,ImeldaHenry,LorraineHiggins,CaitKeane,DenisLandy,FiachMacConghail,MartinMcAleese,MarieMoloney,MaryMoran,TonyMulcahy,MichaelMullins,CatherineNoone,SusanOKeeffe,PatONeill,TomSheahan,JillianVanTurnhout,JohnWhelan,KatherineZappone,,,,,,,,,,,,,,,,,,,,,,
2012,December,20,0,20/Dec/2012 Order of Business (Continued),Question declared carried.,NIL,20,SeanDBarrett,ThomasByrne,JohnCrown,DavidCullinane,MarkDaly,TerryLeyden,MarcMacSharry,PaschalMooney,RonanMullen,DavidNorris,TrevorOClochartaigh,LabhrasOMurchu,DarraghOBrien,MarieLouiseODonnell,DennisODonovan,FergalQuinn,KathrynReilly,JimWalsh,MaryMWhite,DiarmuidWilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,December,20,1,20/Dec/2012 Appropriation Bill 2012 [Certified Money Bill]: All Stages (Continued),Question declared carried.,TA,35,IvanaBacik,PaulBradford,TerryBrennan,ColmBurke,DeirdreClune,EamonnCoghlan,PaulCoghlan,MichaelComiskey,MartinConway,MauriceCummins,JimDarcy,MichaelWDArcy,JohnGilroy,JimmyHarte,AideenHayden,FidelmaHealyEames,ImeldaHenry,LorraineHiggins,CaitKeane,DenisLandy,FiachMacConghail,MartinMcAleese,MarieMoloney,MaryMoran,TonyMulcahy,RonanMullen,MichaelMullins,CatherineNoone,MarieLouiseODonnell,SusanOKeeffe,PatONeill,TomSheahan,JillianVanTurnhout,JohnWhelan,KatherineZappone,,,,,,,,,,,,,,,,,,,
2012,December,20,1,20/Dec/2012 Appropriation Bill 2012 [Certified Money Bill]: All Stages (Continued),Question declared carried.,NIL,8,SeanDBarrett,JohnCrown,DavidCullinane,DavidNorris,TrevorOClochartaigh,MaryAnnOBrien,FergalQuinn,KathrynReilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,December,20,2,20/Dec/2012 Social Welfare Bill 2012: Report Stage (Continued),Amendment declared lost.,TA,19,SeanDBarrett,ThomasByrne,DavidCullinane,MarkDaly,TerryLeyden,MarcMacSharry,PaschalMooney,RonanMullen,DavidNorris,TrevorOClochartaigh,LabhrasOMurchu,DarraghOBrien,DennisODonovan,NedOSullivan,AverilPower,KathrynReilly,JimWalsh,MaryMWhite,DiarmuidWilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
